"place_key","layer_key","layer_name_ko","name","query","category","category_ko","trip_role_ko","visit_window","visit_order","short_desc_ko","notes_ko","priority","backup_flag"
"day2_sapemare","day2","02_07.22 밀라노 핵심","Sapemare","Sapemare, Via Pastrengo 2, Milan, Italy","food","식음","식당 옵션","13:30-14:30","8-2","타파스 바 옵션","Porta Nuova 주변 식사 옵션으로 둡니다.","option","N"
"day2_da_pecchia","day2","02_07.22 밀라노 핵심","Da Pecchia Pizza e Sfizi Napoletani","Da Pecchia Pizza e Sfizi Napoletani, Via Gaetano de Castillia 23, Milan, Italy","food","식음","식당 옵션","13:30-14:30","8-3","피자 옵션","가볍게 먹고 산책을 이어갈 때 씁니다.","option","N"
"day2_mancuso","day2","02_07.22 밀라노 핵심","Mancuso Gelati Italiani 1920","Mancuso Gelati Italiani 1920, Milan, Italy","food","식음","디저트","14:30-15:00","9","점심 뒤 짧은 젤라토","Bosco Verticale 산책 전후에 짧게 넣습니다.","nice","N"
"day2_bosco_verticale","day2","02_07.22 밀라노 핵심","Bosco Verticale","Bosco Verticale, Milan, Italy","architecture","건축","현대 건축 산책 핵심","14:30-15:10","10","Porta Nuova 핵심 건축 포인트","건물 외관과 주변 녹지 스케일을 함께 봅니다.","must","N"
"day2_bam","day2","02_07.22 밀라노 핵심","BAM Biblioteca degli Alberi Milano","BAM Biblioteca degli Alberi Milano, Milan, Italy","park","공원","공원 산책","15:00-15:30","11","Bosco Verticale 이후 공원 산책","햇빛이 강하면 짧게만 걷습니다.","must","N"
"day2_gae","day2","02_07.22 밀라노 핵심","Piazza Gae Aulenti","Piazza Gae Aulenti, Milan, Italy","architecture","건축","고가 광장","15:20-15:45","12","고가 광장과 UniCredit Tower","현대 밀라노 장면을 짧게 정리합니다.","must","N"
"day2_casa_memoria","day2","02_07.22 밀라노 핵심","Casa della Memoria","Casa della Memoria, Milan, Italy","architecture","건축","건축 마무리","15:40-16:00","13","기존 Day1에서 옮긴 짧은 건축 마무리","시간이 맞을 때만 짧게 붙입니다.","nice","N"
"day2_cenacolo","day2","02_07.22 밀라노 핵심","Cenacolo Vinciano / The Last Supper","Museo del Cenacolo Vinciano, Piazza di Santa Maria delle Grazie 2, Milan, Italy","museum","박물관","최후의 만찬","16:30-17:30","14","16:30 도착 · 17:00 예약필요","예약이 잡히면 Day2 후반 핵심으로 둡니다.","must","N"
"day2_navigli","day2","02_07.22 밀라노 핵심","Navigli","Navigli, Milan, Italy","district","지역","저녁 이동","18:00-20:30","15","최후의 만찬 후 저녁 이동","해질 무렵 물가 분위기로 하루를 마무리합니다.","must","N"
"day2_osteria","day2","02_07.22 밀라노 핵심","Osteria del Binari","Osteria del Binari, Milan, Italy","food","식음","Navigli 저녁 1순위","19:00-20:30","16","밀라노식 전통 저녁 1순위","mondeghili, risotto alla milanese, riso al salto, cotoletta, ossobuco con risotto를 봅니다.","must","N"
"day2_el_brellin","day2","02_07.22 밀라노 핵심","El Brellin","El Brellin, Alzaia Naviglio Grande 14, Milan, Italy","food","식음","저녁 옵션","19:00-20:30","16-1","운하변 분위기 저녁 옵션","Osteria del Binari가 어려울 때 둡니다.","option","N"
"day2_naviglio48","day2","02_07.22 밀라노 핵심","NAVIGLIO 48","NAVIGLIO 48, Milan, Italy","food","식음","저녁 옵션","19:00-20:30","16-2","캐주얼 이탈리안 저녁 옵션","운하 주변에서 편하게 먹고 싶을 때 씁니다.","option","N"
"day2_citylife","day2","02_07.22 밀라노 핵심","CityLife Milano","CityLife, Milan, Italy","architecture","건축","최후의 만찬 실패 시 백업","16:00-18:00","17","Cenacolo 예약 실패 시 대체 건축 코스","현대 건축 우선순위를 높일 때만 씁니다.","backup","Y"
"day2_eataly","day2","02_07.22 밀라노 핵심","Eataly Milano Smeraldo","Eataly Milano Smeraldo, Milan, Italy","food","식음","실내 식사 옵션","비·피로 시","18","비·피로 시 실내 식사 옵션","저녁을 단순하게 줄일 때 씁니다.","option","N"
"day2_fondazione_prada","day2","02_07.22 밀라노 핵심","Fondazione Prada","Fondazione Prada, Milan, Italy","museum","박물관","건축 대체안","비·건축 우선 시","19","비·건축 우선 대체안","Day2 후반을 크게 바꿀 때만 씁니다.","backup","Y"
